vacancy_id,name,area,salary_from,salary_to,salary_currency,experience,schedule,employment,description,key_skills,employer_name,published_at,url
128142954,Middle Full-Stack разработчик с уклоном на backend,Астана,,,,От 3 до 6 лет,Полный день,Полная занятость,"<p>🏗<strong> О проекте</strong><br />Приглашаем Middle Full-Stack с уклоном на backend разработчика для развития действующего проекта в сфере строительства.<br />Проект уже запущен и активно развивается - это веб-приложение, предназначенное для автоматизации процессов и управления данными в строительной компании.<br />Ваша задача - принять участие в доработке, развитии и оптимизации текущего функционала, а также в реализации новых модулей.</p> <p>🔧 <strong>Обязанности</strong><br />Разработка и поддержка веб-приложения с упором на производительность, надежность и масштабируемость</p> <p>Участие в проектировании архитектуры и проработке новых технических решений</p> <p>Оптимизация и рефакторинг существующих компонентов на основе обратной связи от пользователей и команды</p> <p>Взаимодействие с аналитиками, дизайнером и другими разработчиками в рамках единой команды</p> <p>📌<strong> Требования</strong><br />Понимание полного жизненного цикла разработки ПО</p> <p>Знание принципов ООП и паттернов проектирования (Design Patterns)</p> <p>Навыки отладки, профилирования и оптимизации кода</p> <p>Опыт адаптивной и кроссбраузерной верстки</p> <p>Понимание принципов микросервисной архитектуры</p> <p>Владение GIT и Docker</p> <p>Опыт оптимизации загрузки и производительности веб-страниц</p> <p>➕ Будет плюсом<br />Опыт работы с Camunda (BPMN)</p> <p>Опыт интеграции с Minio | S3</p> <p>Навыки разработки PWA, а также использование Capacitor, Ionic</p> <p>Участие в проектах, где приложение создавалось с нуля (для понимания общей архитектуры)</p> <p>🛠 Технологический стек проекта<br />Фронтенд: Next.js, React, TypeScript, Capacitor</p> <p>Бэкенд: Node.js (Sails.js), Camunda</p> <p>База данных: PostgreSQL</p> <p>Объектное хранилище: Minio</p> <p>💼 <strong>Условия</strong><br />Работа в реальном, активно развивающемся проекте в строительной отрасли</p> <p>Вовлеченность в процесс принятия технических решений</p> <p>Возможность удаленной работы после прохождения испытательного срока</p> <p>Прозрачная и понятная внутренняя коммуникация</p> <p>Перспективы профессионального и карьерного роста внутри проекта</p>",,Engineering Services,2025-11-27T15:47:29+0300,https://hh.ru/vacancy/128142954
127271552,Разработчик С++,Алматы,300000.0,1000000.0,KZT,От 3 до 6 лет,Полный день,Полная занятость,"<p><strong>Обязанности:</strong></p> <ul> <li>Разработка программного обеспечения</li> </ul> <p><strong>Требования: </strong></p> <ul> <li>Знания языков программирования C, C++ (11, 14, 17) - на профессиональном уровне;</li> <li>Опыт коммерческой разработки приложений на языках С, С++ не менее 2-х лет;</li> <li>Знание архитектур операционных систем Windows и Linux;</li> <li>Знание основ системного программирования;</li> <li>Знание компиляторов - Visual Studio, make, cmake, gcc, mingw, Xcode.</li> <li>Опыт развития и поддержки приложений, разработанных другими разработчиками;</li> </ul> <p><strong>Приветствуе</strong><strong>тся: </strong></p> <ul> <li>Опыт разработки архитектуры ПО;</li> <li>Опыт разработки высоконагруженных, отказоустойчивых систем;</li> <li>Умение работать с многопоточностью/асинхронностью;</li> <li>Опыт разработки автотестов;</li> <li>Опыт программирования на С++ под MacOS;</li> <li>Знание системы контроля версий Git;</li> <li>Опыт работы с CI/CD;</li> </ul> <ul> <li>Владение английским языком на уровне, достаточном для чтения и написания технической документации.</li> </ul> <p><strong>Условия: </strong></p> <ul> <li>Вы будете участвовать в сложных и интересных проектах, которыми сможете гордиться.</li> <li>Будете получать достойную зарплату. Эффективных сотрудников мы регулярно поощряем повышением зарплаты, премиями и другими бонусами.</li> <li>Мы оплатим медицинскую страховку для Вас и предоставим льготные условия страхования для Ваших близких.</li> <li>Мы готовы оплачивать Ваше обучение, если это будет нужно для дела.</li> <li>При поддержке коллег, Ваш профессиональный уровень будет неизбежно расти.</li> <li>Работая в офисе в центре города, Вы сможете выбрать удобный график работы.</li> <li>На период адаптации, за Вами будет закреплен опытный сотрудник, который поможет Вам быстро и комфортно освоиться у нас.</li> </ul> <p>Мы не только продуктивно работаем, но и умеем хорошо отдыхать и весело проводить время.</p> <p> </p>","C, C++",«Научно-Исследовательская Лаборатория «Гамма Технологии»,2025-12-05T07:09:00+0300,https://hh.ru/vacancy/127271552
127951048,Технический специалист (IT),Жаркент,200000.0,350000.0,KZT,От 1 года до 3 лет,Полный день,Полная занятость,"<p><strong>Хочешь высокий доход, реальный рост и дружную команду? Добро пожаловать в Sulpak!</strong></p> <p> </p> <p><strong>Сколько можно заработать?</strong></p> <p><strong>От 200 000 до 350 000</strong> т и больше (зависит от количества выполненных установок и обслуженных клиентов).</p> <p>· Оклад + бонусы без ограничения по доходу.</p> <p>· 58 000 т за знание техники — выучим вместе.</p> <p>В июне наш сотрудник получил 465.000 тенге. Это реально!</p> <p> </p> <p><strong>Условия для тебя:</strong></p> <p>· Гибкий график: 2/2, 5/2 — выбирай, как удобнее.</p> <p>· Магазин — возле дома, без долгих поездок.</p> <p>· Всё для работы: фирменная одежда, приложение-помощник, топ-бренды под рукой.</p> <p> </p> <p><strong>Бонусы и плюшки:</strong></p> <p>· Sulcoin — наша валюта: копишь — меняешь на подарки.</p> <p>· Подарки на Новый год — для тебя и семьи.</p> <p>· Командная атмосфера — у нас не «каждый сам за себя».</p> <p> </p> <p><strong>Научим и поддержим:</strong></p> <p>· Опыт не нужен — всему научим с нуля.</p> <p>· Наставник рядом — поможет освоиться с первого дня.</p> <p>· Командная работа в начале — вместе легче.</p> <p>· Хочешь расти: 100% наших директоров начинали именно с этой позиции.</p> <p>· Есть анонимный чат доверия: всегда на связи.</p> <p> </p> <p><strong>Чем будешь заниматься:</strong></p> <p>· Оформлять доставку, установку, возврат и обмен техники.</p> <p>· Устанавливать и настраивать цифровые устройства.</p> <p>· Проводить кассовые операции и инкассацию.</p> <p>· Участие в инвентаризациях – вместе с командой.</p> <p> </p> <p><strong>Кто нам нужен:</strong></p> <p>· Ты активный, умеешь слушать и объяснять.</p> <p>· Любишь разбираться в технике и хочешь помогать клиентам.</p> <p>· Если есть опыт или образование в IT — круто, но необязательно.</p> <p> </p> <p>P.s: эта вакансия подойдёт для: Сервисный инженер, консультант по цифровой технике, кассир с техническими навыками, B2B, системный администратор, IT-специалист, IT-инженер,<strong> </strong>начинающий специалист, IT, специалист технической поддержки, IT-консультант, программист</p>",,Sulpak,2025-11-21T13:45:26+0300,https://hh.ru/vacancy/127951048
128007391,Программист 1С,Астана,1500000.0,,KZT,Более 6 лет,Удаленная работа,Полная занятость,"<p><strong>Обязанности:</strong></p> <p> </p> <ul> <li> <p>Разработка и доработка конфигураций на платформе <strong>1С:Предприятие 8.3</strong></p> </li> <li> <p>Интеграция 1С с внешними сервисами и системами (API, обмен с сайтами, бухгалтерскими и банковскими сервисами)</p> </li> <li> <p>Интеграция с оборудованием</p> </li> <li> <p><strong>Требования:</strong></p> </li> </ul> <ul> <li> <p>Опыт разработки на платформе <strong>1С:Предприятие 8.x</strong> от 3 лет.</p> </li> <li> <p>Знание типовых конфигураций (Бухгалтерия, ЗУП, УТ и др.).</p> </li> <li> <p>Навыки написания <strong>сложных запросов SQL</strong>, оптимизация производительности.</p> </li> <li> <p>Понимание принципов интеграции 1С с другими системами.</p> </li> <li> <p>Опыт работы с <strong>управляемыми формами</strong>, правами доступа и обменами данными.</p> </li> <li> <p>Будет плюсом:ов CI/CD и систем контроля версий (</p> <ul> <li> <p>Навыки работы с jira/confluence</p> </li> <li> <p>Знание принципов CI/CD и систем контроля версий (<strong>Git</strong>)</p> </li> <li> <p>Опыт командной разработки</p> </li> </ul> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p><strong>Официальное трудоустройство</strong></p> </li> <li> <p>Достойный уровень оплаты труда (обсуждается по результатам собеседования)</p> </li> <li> <p>Участие в интересных проектах</p> </li> <li> <p>Возможность профессионального роста, обучение и сертификация за счёт компании</p> </li> <li> <p>Работа в составе опытной команды</p> </li> </ul>","1С программирование, Автоматизация процессов, Аналитическое мышление, Обучение и развитие",ЭкоТехноПром,2025-11-24T14:56:39+0300,https://hh.ru/vacancy/128007391
126180466,Старший инженер RNO,Алматы,,,,От 1 года до 3 лет,Полный день,Полная занятость,"<strong>Обязанности:</strong> <ul> <li>Проведение оптимизации радиосети: изменение параметров, расширение емкости, рекомендации по физическим параметрам базовых станций.</li> <li>Разработка и внедрение базового набора параметров для сетей 2G/3G/LTE/5G с учетом анализа KPI, нагрузки и географических особенностей.</li> <li>Разработка и внедрение набора параметров для нового функционала на сетях 2G/3G/LTE/5G, проведение анализа результатов и принятие решений о распространении на другие сегменты сети.</li> <li>Разработка методологии по определению перегруженных секторов 3G/4G LTE/5G, формирование TOP-листа таких секторов и принятие решений о внедрении необходимых изменений с учетом рекомендаций вендоров.</li> <li>Взаимодействие с вендорами радиооборудования по внедрению нового функционала и релизов ПО, оценка рисков и составление плана-графика реализации.</li> <li>Решение проблем на сети, инициирование тикетов вендорам, проведение анализа по рекомендациям и оценка рисков.</li> <li>Внедрение ПО, оборудования и функционала на сетях 2G/3G/4G LTE/5G с контролем их корректной работы в соответствии с рекомендациями.</li> <li>Взаимодействие с партнерами, B2C, B2B и смежными подразделениями для подготовки решений и продуктов.</li> <li>Анализ рынка телекоммуникационного оборудования и программного обеспечения для радиодоступа.</li> <li>Анализ результатов драйв-тестов, разработка планов по параметризации для улучшения показателей сети.</li> <li>Контроль ключевых показателей сети (KPI) и предпринятие мер по их улучшению.</li> <li>Контроль реализации проектов по оптимизации радиосети.</li> <li>Участие в проектах по внедрению новых решений и функционала, оценка рисков и анализ результатов для расширения внедрения на другие сегменты сети.</li> <li>Актуализация базы данных по параметрам сетей 2G/3G/4G LTE/5G в планировочных инструментах.</li> <li>Участие в анализе Номинального плана для ежегодного ролл-аута и его корректировка.</li> <li>Оказание L3 поддержки для радиосети.</li> <li>Контроль оптимизации и развития программного и аппаратного обеспечения радиосети.</li> <li>Взаимодействие с другими отделами компании для эффективного решения поставленных задач.</li> <li>Подготовка отчетов о необходимости корректировки или замены продуктов, ПО, оборудования или приложений.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование.</li> <li>Опыт работы не менее 3 лет в мобильных телекоммуникациях или аналогичной области.</li> <li>Опыт работы с RAN сетями: Ericsson, ZTE, Huawei – обязателен; опыт работы с другими поставщиками желателен.</li> <li>Глубокие знания планирования и оптимизации радиосетей GSM/UMTS/LTE.</li> <li>Понимание принципов функционирования и построения сетей GSM/UMTS/LTE/5G.</li> <li>Знание оборудования базовых станций и антенно-фидерного оборудования.</li> <li>Знание основ технологий IP.</li> <li>Навыки устранения проблем в области RAN.</li> <li>Уверенный пользователь ПК.</li> <li>Стрессоустойчивость.</li> <li>Навыки управления проектами.</li> <li>Способность к быстрому принятию решений.</li> </ul> <strong>Условия:</strong> <ul> <li>Полное соответствие ТК РК</li> <li>Компенсация затрат на мобильную связь</li> <li>Безлимитный мобильный интернет</li> <li>Техника</li> </ul>","RAN, Ericsson, ZTE, Huawei, L3, Python, JavaScript, SQL",Kcell,2025-11-05T11:50:43+0300,https://hh.ru/vacancy/126180466
128161703,QA Engineer (Middle+),Алматы,,,,От 3 до 6 лет,Полный день,Полная занятость,"<p> </p> <p> </p> <p>Netcracker — the people designing the future of tech<br /><br />What’s the value of working with Netcracker?</p> <ul> <li><strong>Your contribution matters.</strong> Your expertise drives large-scale business transformations and helps design architectural solutions for millions of telecom customers in Japan, Belgium, the Netherlands, Germany, the UAE, and beyond — at the intersection of cutting-edge technologies.</li> <li><strong>An engineering culture that values mentorship and a vibrant expert community. </strong>A professional environment where knowledge sharing thrives and depth, rigor, and technical mastery are valued.</li> <li><strong>Career growth in every direction.</strong> Switch projects, specialize, and expand your domain, or step into management.</li> <li><strong>Work smarter, not harder.</strong> We value outcomes over hours. We trust professionals and support flexibility.</li> <li><strong>Resilience &amp; adaptability.</strong> 30+ years globally and 3.5 years in Kazakhstan. We progress even amid global economic challenges.</li> <li><strong>Flexibility &amp; comfort.</strong> Modern offices in convenient locations, flexible schedules, and a build-your-own benefits package — you choose what matters most.</li> </ul> <p><strong>As a Test Automation Engineer (Middle+) your main tasks will be:<br /><br />· </strong> Test design and test documentation;<br />· Auto tests development;<br />· Participation in test tools development;<br />· Test data preparation and test execution (manually and by launching auto tests);<br />· Analysis of test results.<br /><br /><strong>We are waiting for:<br />· </strong>Practical experience in cloud solution testing;<br />· Hands-on experience in Kubernetes (OpenShift);<br />· Hands-on experience with test automation tools such as Selenium, Cypress, Playwright, TestCafe, Appium, etc;<br />· Hands-on experience in Postman;<br />· Understanding of CI/CD principles;<br />· Background in test design and manual testing;<br />· Willingness for self-development in test automation area.</p> <p><strong>We offer:</strong></p> <ul> <li>Competitive salary;</li> <li>Medical insurance, covering dental services;</li> <li>More than 300 hard and soft-skills programs by the corporate career development center;</li> <li>Open environment and encouraging knowledge sharing culture;</li> <li>Free English courses and opportunity to practice foreign languages daily;</li> <li>Flexible working hours.</li> </ul> <h2>Netcracker — люди, создающие будущее технологий</h2> <p>Почему стоит работать в Netcracker?</p> <p> </p> <p>Создавайте инфраструктуру будущего в компании, где ваша экспертиза воплощается в мировых проектах</p> <p>Мы ценим знания, поддерживаем рост и всегда остаёмся на стороне сотрудника. Здесь слышат мнение, уважают выбор и поощряют инициативу.</p> <p><em>В чём ценность работы в </em><em>Netcracker</em><em> для вас?</em></p> <ul> <li><strong>Влияние вашей персональной экспертизы на глобальные бизнес-трансформации и внедрение архитектурных решений</strong> для миллионов клиентов телеком-компаний из Японии, Бельгии, Нидерландов, Германии, ОАЭ и других стран на стыке самых передовых технологий<strong>.</strong></li> <li><strong>Инженерная культура, менторство</strong> <strong>и живая экспертная среда.</strong></li> <li><strong>Ценность сотрудника определяется качеством работы, а не количеством отработанных</strong> <strong>часов. </strong>Ценится подход <em>work smarter, not harder</em>.</li> <li><strong>Возможность роста, а также смена проекта или направления:</strong> рост возможен как вверх, так и вглубь.</li> <li> <strong>Устойчивость компании на рынке и адаптивность несмотря на вызовы мирового масштаба</strong>: компания существует более 30 лет в мире, и уже 3,5 года — в Казахстане.</li> <li> <strong>Гибкий график в современных офисах в удобных локациях с конструктором бенефитов.</strong></li> </ul> <h2> </h2> <p><strong>Основные задачи:</strong></p> <ul> <li> <p>Проектирование тестов и подготовка тестовой документации;</p> </li> <li> <p>Разработка автотестов;</p> </li> <li> <p>Участие в разработке инструментов тестирования;</p> </li> <li> <p>Подготовка тестовых данных и выполнение тестов (вручную и запуском автотестов);</p> </li> <li> <p>Анализ результатов тестирования.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Практический опыт тестирования облачных решений;</p> </li> <li> <p>Опыт работы с Kubernetes (OpenShift);</p> </li> <li> <p>Опыт работы с инструментами автоматизации тестирования: Selenium, Cypress, Playwright, TestCafe, Appium и др.;</p> </li> <li> <p>Опыт работы с Postman;</p> </li> <li> <p>Понимание принципов CI/CD;</p> </li> <li> <p>Опыт проектирования тестов и ручного тестирования;</p> </li> <li> <p>Готовность к саморазвитию в области автоматизации тестирования.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Конкурентную заработную плату;</p> </li> <li> <p>Медицинскую страховку, включая стоматологические услуги;</p> </li> <li> <p>Более 300 программ по развитию hard и soft skills от корпоративного центра карьерного развития;</p> </li> <li> <p>Открытую среду и культуру обмена знаниями;</p> </li> <li> <p>Бесплатные курсы английского языка и возможность ежедневно практиковать иностранные языки;</p> </li> <li> <p>Гибкий график работы.</p> </li> </ul>","Postman, TestCafe, Playwright, Autotest, Appium, Kubernetes, Selenium, Cypress",Неткрэкер Текнолоджи Казахстан,2025-12-02T15:20:26+0300,https://hh.ru/vacancy/128161703
128119735,Backend-разработчик,Алматы,,,,От 1 года до 3 лет,Полный день,Полная занятость,"<p><strong>Livin</strong> — IT-компания по бронированию отелей и жилья в Казахстане с планами выхода на международные рынки. Присоединяйтесь к команде на этапе активного роста!</p> <h2>Обязанности</h2> <ul> <li>Разработка и поддержка GraphQL и REST API на NestJS</li> <li>Проектирование backend-архитектуры с применением DDD и CQRS</li> <li>Интеграция с платёжными системами и внешними сервисами</li> <li>Работа с базами данных: проектирование, оптимизация, миграции</li> <li>Разработка real-time функционала через WebSocket</li> <li>Реализация фоновых задач и очередей</li> </ul> <h2>Требования</h2> <ul> <li>2+ года опыта с Node.js и TypeScript</li> <li>Опыт работы с NestJS или похожими фреймворками</li> <li>Знание PostgreSQL и ORM (Objection.js/TypeORM/Knex.js)</li> <li>Опыт с GraphQL (Apollo Server)</li> <li>Работа с Redis и очередями задач</li> <li>Понимание JWT, OAuth, аутентификации</li> <li>Базовое знание Docker и CI/CD</li> </ul> <p><strong>Плюсом:</strong></p> <ul> <li>Elasticsearch, AWS, платёжные системы, CQRS, микросервисы</li> </ul> <h2>Наш стек</h2> <p><strong>Backend:</strong> Node.js 20.x, TypeScript, NestJS 8.x, Fastify<br /><strong>API:</strong> GraphQL (Apollo), REST, WebSocket<br /><strong>Database:</strong> PostgreSQL, Knex.js, Objection.js<br /><strong>Cache &amp; Queues:</strong> Redis, Bull<br /><strong>Search:</strong> Elasticsearch<br /><strong>Auth:</strong> JWT, Passport.js (Apple, Google)<br /><strong>Notifications:</strong> Firebase, AWS SNS<br /><strong>Infrastructure:</strong> Docker, AWS (S3, ECS, CloudFront), GitLab CI<br /><strong>Monitoring:</strong> Sentry, New Relic<br /><strong>Architecture:</strong> DDD, CQRS</p>","Node.js, REST, MongoDB, Redis, RabbitMQ, PostgreSQL, ORM",Birdhouse,2025-11-27T09:21:37+0300,https://hh.ru/vacancy/128119735
127862616,Frontend-разработчик (middle 3),Алматы,,,,От 3 до 6 лет,Полный день,Полная занятость,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Поддержка и развитие пользовательских интерфейсов, фреймов и платежных форм;</p> </li> <li> <p>Интеграция с Back end через API;</p> </li> <li> <p>Взаимодействие с дизайнерами и Back end разработчиками для совместной работы над проектами;</p> </li> <li> <p>Разработка новых модулей в рамках текущих проектов.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы на позициях Frontend-разработчик от 4+ лет;</li> <li>Обязательный стек технологий: HTML, CSS3, JavaScript, CSS, Vue.js, vuex, vue router, WebPack - желательно максимальный интерес работать с этой линейкой;</li> <li>Понимание компонентного подхода, умение писать переиспользуемый и чистый код.</li> </ul>","HTML, JavaScript, VueJS, Webpack, CSS",Freedom Pay,2025-12-04T11:00:40+0300,https://hh.ru/vacancy/127862616
126543274,Системный администратор,Алматы,,,,От 3 до 6 лет,Полный день,Полная занятость,"<p> </p> <p><strong>Что ждет вас в работе:</strong></p> <ul> <li>Администрирование серверов Windows и Linux (AD, DNS, DHCP, GPO, File Services).;</li> <li>Обслуживание виртуальной инфраструктуры VMware vSphere / Hyper-V.;</li> <li>Поддержка сетевой инфраструктуры (VLAN, маршрутизация, VPN, коммутаторы, межсетевые экраны).;</li> <li>Участие в проектах по модернизации ИТ-инфраструктуры и повышению отказоустойчивости.;</li> </ul> <p><strong>Что важно для нас:</strong></p> <ul> <li>Знание серверных операционных систем Windows Server, Linux.</li> <li>Понимание принципов работы сетей TCP/IP, VLAN, VPN, DNS, DHCP.</li> <li>Опыт администрирования виртуальной среды (VMware).</li> <li>Навыки работы с системами резервного копирования и мониторинга.</li> </ul> <p><strong>Что</strong><strong> предлагаем:</strong></p> <ul> <li>Официальное трудоустройство;</li> <li>Конкурентная заработная плата и ежегодное повышение зарплат в случае достижений целей компании;</li> <li>Система авансирования;</li> <li>Пятидневная рабочая неделя ( суббота. воскресенье и праздники отдыхаем);</li> <li>Лояльность рабочего графика;</li> <li>Корпоративное обучение, изучение языков;</li> <li>Премия лучший сотрудник года;</li> <li>ДМС или спорт;</li> <li>Доплата за совмещение должностей;</li> <li>Добровольное медицинское страхование;</li> <li>Трудовой отпуск 24 календарных дня + 4 дополнительных от компании;</li> <li>Корпоративная мобильная связь;</li> <li>Организация и частичная компенсация обедов, безлимитный кофе;</li> <li>Развозка до станции метро.</li> </ul> <p><strong><em>Если заинтересовала данная вакансия, откликайся! </em></strong></p> <p><strong><em>Мы ждем именно тебя!</em></strong></p>","Active Directory, Администрирование серверов Windows, Cisco, Настройка DNS, DHCP, WDS, GPO, Exchange, Win7-8-10, Windows Server 2008-2016, SQL Server 2008-2016, DFS",Торговая Компания Мегаполис-Казахстан,2025-11-12T14:09:19+0300,https://hh.ru/vacancy/126543274
128122011,Senior Full-Stack PHP разработчик,Алматы,,,,От 3 до 6 лет,Полный день,Полная занятость,"<strong>Задачи:</strong> <ul> <li> <p>Разработка backend (PHP, Laravel) и frontend (Vue 3) частей приложения;</p> </li> <li> <p>Интеграция с 1С и другими внутренними системами;</p> </li> <li> <p>Координация проектов и ведение всей необходимой документации;</p> </li> <li> <p>Разработка административных инструментов с функционалом создания и управления ролями;</p> </li> <li> <p>Реализация фильтров, поиска, выгрузок;</p> </li> <li> <p>Настройка маршрутизации заявок и уведомлений;</p> </li> <li> <p>Участие в тестировании и устранении багов;</p> </li> <li> <p>Требуемый стек технологий Backend: PHP 8.3-FPM, Laravel 11, PostgreSQL 17, Redis 7.2, MeiliSearch.</p> </li> </ul> <strong>Мы ожидаем от кандидата:</strong> <ul> <li> <p>Опыт full-stack разработки (Laravel + Vue) от 3 лет;</p> </li> <li> <p>Опыт интеграции с внешними системами (1С, AD);</p> </li> <li> <p>Знание REST API, DDD, CI/CD;</p> </li> <li> <p>Владение Git;</p> </li> <li><strong>Backend: </strong>PHP 8.3-FPM, Laravel 11, PostgreSQL 17, Redis 7.2, MeiliSearch (Laravel Scout), Laravel Breeze (админ-панель), InertiaJS, Selenium/Codeception, (тесты), Mailhog, Nginx 1.25, Ubuntu 22.04, deployer/deployer, spatie/laravel-data (DDD);</li> <li><strong>Frontend:</strong> JavaScript, Vue 3, InertiaJS, Pinia 2, Vite 4, Sass, TailwindCSS 3, PostCSS.</li> </ul> <strong>Что мы предлагаем:</strong> <ul> <li>Профессиональный коллектив;</li> <li>Возможность работать над проектами, приносящими пользу для тысяч людей;</li> <li>Неограниченный рост;</li> <li>Комфортный офис в центре города;</li> <li>Скидки на фитнес, обучение английскому языку, подарки на праздники и дни рождения;</li> <li>Бонусы и уникальные предложения от компаний холдинга;</li> <li>Спонсирование профессионального обучения;</li> <li>Насыщенная корпоративная жизнь с выездами на природу, праздничными мероприятиями в офисе, играми и розыгрышами подарков.</li> </ul>",,Freedom Holding Operations,2025-11-27T09:58:07+0300,https://hh.ru/vacancy/128122011
