Skill,Coefficient
Go,218735.73223980513
Ios,200055.00119691258
Design,162917.48137028128
Typescript,159972.53750932653
Agile,155162.85281473753
Gitlab,155118.76008461212
Spring,150424.5499466402
Azure,130077.56884809895
Elasticsearch,125529.00032124917
Mongodb,111786.47918987015
Nginx,84594.40848233254
1С Программирование,84487.9993696181
Vuejs,81867.63978972712
Java,79268.38348976984
Python,75119.7647430841
Git,46517.96627586135
Sql,43408.04045536391
Github,39486.87594781467
Linux,38308.30337575146
Graphql,33230.56710724631
Nodejs,31830.168058918367
Scrum,28790.91272654677
Английский Язык,21020.63452243774
C#,19124.07919766975
Redis,18901.093610229193
Ci/Cd,16089.356518662424
Html,41.29577180138031
Testing,0.0
Laravel,-7797.123927774496
Docker,-21925.822090886337
Fastapi,-21926.44132152148
Postgresql,-26496.080028171677
Oracle,-32312.479247397307
Confluence,-52638.741712452356
Gitlab Ci,-55329.40650700494
Mysql,-65626.21829518603
Angular,-67896.63703337265
Aws,-75521.56907694825
Css,-79864.01969220277
React,-81259.34801121011
Api,-87756.62402232274
Javascript,-88456.43557270712
Vue,-89130.36005501315
Rest,-98688.11727539294
Php,-99093.73976563565
Android,-101878.36799638865
Jira,-110484.28243831403
Kubernetes,-118478.42093509532
Rest Api,-169135.11223159553
Golang,-189625.53772133013
